Feature	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	LLF	AIC	R2
Feature	Age	Age	Age	StepLength	StepLength	StepLength	Cadence	Cadence	Cadence	C(AgeGroup)[T.1]:StepLength	C(AgeGroup)[T.1]:StepLength	C(AgeGroup)[T.1]:StepLength	C(AgeGroup)[T.1]:Cadence	C(AgeGroup)[T.1]:Cadence	C(AgeGroup)[T.1]:Cadence	LLF	AIC	R2
Feature	Coef	CI	p-value	Coef	CI	p-value	Coef	CI	p-value	Coef	CI	p-value	Coef	CI	p-value	LLF	AIC	R2
H2A_M	0.72	[0.14, 1.30]	0.0161													-57.4	118.9	0.13
H2A_M				-0.40	[-0.69, -0.11]	0.0087										-56.9	117.7	0.16
H2A_M							0.40	[0.11, 0.69]	0.0082							-56.8	117.6	0.16
H2A_M	0.49	[-0.11, 1.10]	0.1077	-0.30	[-0.61, 0.01]	0.0557										-55.4	116.9	0.21
H2A_M	0.52	[-0.07, 1.11]	0.0802				0.31	[0.02, 0.61]	0.0397							-55.1	116.3	0.22
H2A_M	0.51	[-0.11, 1.13]	0.1052	-0.22	[-0.75, 0.31]	0.4027				-0.12	[-0.77, 0.54]	0.7194				-55.4	118.7	0.21
H2A_M	0.53	[-0.07, 1.13]	0.0801				0.25	[-0.29, 0.79]	0.3542				0.09	[-0.55, 0.74]	0.7712	-55.1	118.2	0.22
H2A_M	0.48	[-0.15, 1.12]	0.1314	-0.14	[-0.75, 0.47]	0.6428	0.18	[-0.43, 0.80]	0.5489	0.01	[-0.92, 0.94]	0.9898	0.05	[-0.86, 0.97]	0.9092	-54.9	121.7	0.23
H2A_I	0.78	[0.21, 1.36]	0.0085													-56.8	117.7	0.16
H2A_I				-0.38	[-0.68, -0.09]	0.0109										-57.1	118.1	0.15
H2A_I							0.43	[0.15, 0.72]	0.0036							-56.0	116.0	0.19
H2A_I	0.58	[-0.03, 1.18]	0.0602	-0.27	[-0.58, 0.03]	0.0783										-55.1	116.3	0.22
H2A_I	0.57	[-0.01, 1.14]	0.0524				0.34	[0.05, 0.63]	0.0215							-54.0	113.9	0.26
H2A_I	0.58	[-0.03, 1.20]	0.0635	-0.25	[-0.78, 0.28]	0.3481				-0.04	[-0.69, 0.61]	0.9084				-55.1	118.3	0.22
H2A_I	0.56	[-0.02, 1.15]	0.0594				0.38	[-0.15, 0.90]	0.1526				-0.05	[-0.68, 0.58]	0.8739	-53.9	115.9	0.26
H2A_I	0.54	[-0.08, 1.16]	0.0876	-0.10	[-0.69, 0.49]	0.7333	0.33	[-0.27, 0.93]	0.2735	0.10	[-0.81, 1.01]	0.8272	-0.00	[-0.90, 0.89]	0.9911	-53.9	119.7	0.27
H2A_W	0.46	[-0.15, 1.06]	0.1347													-59.3	122.6	0.05
H2A_W				-0.30	[-0.60, -0.00]	0.0498										-58.5	120.9	0.09
H2A_W							0.36	[0.06, 0.65]	0.0182							-57.5	119.1	0.13
H2A_W	0.27	[-0.38, 0.92]	0.4033	-0.25	[-0.58, 0.08]	0.1320										-58.1	122.2	0.11
H2A_W	0.26	[-0.36, 0.87]	0.4043				0.32	[0.00, 0.63]	0.0469							-57.2	120.3	0.14
H2A_W	0.23	[-0.42, 0.89]	0.4710	-0.46	[-1.02, 0.10]	0.1055				0.32	[-0.37, 1.01]	0.3551				-57.6	123.2	0.13
H2A_W	0.20	[-0.41, 0.80]	0.5188				0.70	[0.16, 1.25]	0.0125				-0.56	[-1.22, 0.09]	0.0900	-55.6	119.1	0.21
H2A_W	0.15	[-0.50, 0.79]	0.6470	-0.18	[-0.80, 0.43]	0.5510	0.62	[-0.00, 1.24]	0.0517	0.12	[-0.82, 1.06]	0.7928	-0.53	[-1.45, 0.40]	0.2548	-55.3	122.7	0.21
