Feature	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	Predictor	LLF	AIC	R2
Feature	Age	Age	Age	Speed	Speed	Speed	Speed^2	Speed^2	Speed^2	Age × Speed	Age × Speed	Age × Speed	LLF	AIC	R2
Feature	Coef	CI	p-value	Coef	CI	p-value	Coef	CI	p-value	Coef	CI	p-value	LLF	AIC	R2
StepLength	-0.20	[-0.44, 0.05]	0.1165										-367.3	742.7	0.01
StepLength				0.95	[0.92, 0.97]	< 0.0001							24.3	-40.6	0.89
StepLength	-0.28	[-0.44, -0.11]	0.0010	0.95	[0.92, 0.97]	< 0.0001							27.7	-45.3	0.90
StepLength				0.95	[0.93, 0.97]	< 0.0001	-0.03	[-0.05, -0.01]	0.0014				25.7	-41.3	0.89
StepLength	-0.27	[-0.44, -0.11]	0.0011	0.95	[0.93, 0.97]	< 0.0001	-0.03	[-0.05, -0.01]	0.0015				29.0	-45.9	0.91
StepLength	-0.28	[-0.44, -0.11]	0.0010	0.94	[0.91, 0.97]	< 0.0001				0.02	[-0.03, 0.06]	0.4764	25.0	-38.1	0.90
StepLength	-0.27	[-0.44, -0.11]	0.0011	0.94	[0.91, 0.97]	< 0.0001	-0.03	[-0.05, -0.01]	0.0012	0.02	[-0.02, 0.06]	0.3476	26.5	-39.0	0.91
Cadence	0.39	[0.14, 0.65]	0.0021										-363.4	734.8	0.04
Cadence				0.91	[0.88, 0.94]	< 0.0001							-47.9	103.8	0.84
Cadence	0.32	[0.13, 0.51]	0.0008	0.91	[0.88, 0.94]	< 0.0001							-44.3	98.6	0.86
Cadence				0.93	[0.91, 0.95]	< 0.0001	-0.14	[-0.16, -0.11]	< 0.0001				4.4	1.3	0.86
Cadence	0.32	[0.14, 0.51]	0.0006	0.93	[0.91, 0.95]	< 0.0001	-0.14	[-0.16, -0.11]	< 0.0001				8.1	-4.3	0.88
Cadence	0.32	[0.13, 0.51]	0.0009	0.94	[0.90, 0.98]	< 0.0001				-0.06	[-0.12, -0.00]	0.0462	-44.9	101.8	0.86
Cadence	0.32	[0.14, 0.51]	0.0007	0.95	[0.92, 0.99]	< 0.0001	-0.14	[-0.16, -0.11]	< 0.0001	-0.04	[-0.09, 0.00]	0.0615	7.0	-0.1	0.88
