variable,young_mean,young_sd,older_mean,older_sd,difference,percent_difference,ci_low,ci_high,p,cohen_d
Age,27.8181818182,4.4254282939,63.9523809524,4.86288176369,36.1341991342,129.894179894,33.2647951309,39.0036031375,2.10634355417e-26,7.78088399611
Height,1.72009090909,0.103542909941,1.64314285714,0.110862205334,-0.0769480519481,-4.47348750821,-0.143115558031,-0.0107805458648,0.0237617967219,-0.717961333371
Mass,70.1704545455,11.0773327017,67.3923809524,12.9301090114,-2.77807359307,-3.95903605167,-10.2181146595,4.66196747338,0.454732054862,-0.231181210117
BMI,23.8206603068,3.91445878419,24.800656037,3.10659644768,0.979995730191,4.11405778668,-1.19358009789,3.15357155827,0.367559505463,0.276564339503
LegLength,0.882272727273,0.0606262412289,0.856904761905,0.0751078589509,-0.025367965368,-2.87529746571,-0.0676077098766,0.0168717791407,0.23165192583,-0.372639713782
Speed,1.23409090909,0.0610744347504,1.2180952381,0.0493577803005,-0.0159956709957,-1.29615013593,-0.0501504430688,0.0181591010775,0.349547914835,-0.287340893665
StepLength,0.637249835891,0.0316881882462,0.605873567283,0.0450420917962,-0.0313762686074,-4.92369975482,-0.055570851488,-0.00718168572672,0.0124899801068,-0.809061837761
Cadence,116.482010159,5.38933677519,121.028956128,8.14318646737,4.54694596939,3.9035606985,0.248699370625,8.84519256815,0.0387613990355,0.661667137326
H2A_M,0.526793166765,0.0816414429327,0.600563259925,0.1096560338,0.0737700931602,14.0036161845,0.0138108784465,0.133729307874,0.0172751051068,0.765803476712
H2A_I,0.351213467092,0.0516281126807,0.414963961789,0.0943451483391,0.0637504946971,18.1514949369,0.0161168197058,0.111384169688,0.0103759045785,0.843863776331
H2A_W,1.26507621603,0.513106126414,1.50133975126,0.501542119756,0.236263535227,18.6758340908,-0.0762527505212,0.548779820976,0.134491465271,0.465545685296
