model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,scaling,structure,setting,speed_variable
hof_physical_speed_no_age,StepLengthHof,full,Intercept,0.22392990764,0.0127010724575,0.199036263058,0.248823552221,1.42962263077e-69,258,0.856641476257,591.785693131,-1169.57138626,StepLengthHof ~ Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_no_age,StepLengthHof,full,Speed,0.489454657451,0.0212375363923,0.447829851002,0.5310794639,1.58818411782e-117,258,0.856641476257,591.785693131,-1169.57138626,StepLengthHof ~ Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_no_age,StepLengthHof,full,I(Speed ** 2),-0.0700566346363,0.0104835165602,-0.0906039495256,-0.0495093197471,2.34818113611e-11,258,0.856641476257,591.785693131,-1169.57138626,StepLengthHof ~ Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,StepLengthHof,full,Intercept,0.231696507292,0.0144558492389,0.203363563418,0.260029451166,8.16300358007e-58,258,0.860019380481,592.390181474,-1168.78036295,StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,StepLengthHof,full,AgeGroup,-0.0150867847044,0.0139348276897,-0.042398545107,0.0122249756982,0.278956045832,258,0.860019380481,592.390181474,-1168.78036295,StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,StepLengthHof,full,Speed,0.488531175194,0.0212735727997,0.446835738684,0.530226611704,1.06223119893e-116,258,0.860019380481,592.390181474,-1168.78036295,StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,StepLengthHof,full,I(Speed ** 2),-0.0695535068854,0.01050523084,-0.0901433809811,-0.0489636327897,3.57150901431e-11,258,0.860019380481,592.390181474,-1168.78036295,StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,StepLengthHof,full,Intercept,0.241107614493,0.0149720605388,0.211762915063,0.270452313924,2.39765810922e-58,258,0.860759126081,594.032188154,-1170.06437631,StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,StepLengthHof,full,AgeGroup,-0.0350629810927,0.0174368117012,-0.0692385040321,-0.000887458153186,0.0443402832921,258,0.860759126081,594.032188154,-1170.06437631,StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,StepLengthHof,full,Speed,0.479446094525,0.0216447423794,0.437023179007,0.521869010044,1.02721328336e-108,258,0.860759126081,594.032188154,-1170.06437631,StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,StepLengthHof,full,AgeGroup:Speed,0.0202411829501,0.0112422459603,-0.00179321423735,0.0422755801376,0.0717884721572,258,0.860759126081,594.032188154,-1170.06437631,StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,StepLengthHof,full,I(Speed ** 2),-0.0700010790679,0.0104675775733,-0.0905171541169,-0.0494850040188,2.27140571051e-11,258,0.860759126081,594.032188154,-1170.06437631,StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_no_age,CadenceHof,full,Intercept,0.1918918053,0.0101708874129,0.17195723228,0.21182637832,2.13979900296e-79,258,0.891104164656,661.204963454,-1308.40992691,CadenceHof ~ Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_no_age,CadenceHof,full,Speed,0.431247607005,0.0167784302486,0.398362488,0.464132726009,1.09602748416e-145,258,0.891104164656,661.204963454,-1308.40992691,CadenceHof ~ Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_no_age,CadenceHof,full,I(Speed ** 2),-0.0870941791947,0.00821992719294,-0.103204940448,-0.070983417941,3.12689780847e-26,258,0.891104164656,661.204963454,-1308.40992691,CadenceHof ~ Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,CadenceHof,full,Intercept,0.181682121047,0.0107039457855,0.160702772815,0.202661469279,1.29276284627e-64,258,0.904672681758,664.151410917,-1312.30282183,CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,CadenceHof,full,AgeGroup,0.0204743992911,0.00832639283514,0.00415496921308,0.0367938293691,0.0139333971915,258,0.904672681758,664.151410917,-1312.30282183,CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,CadenceHof,full,Speed,0.431706850932,0.0168297813848,0.39872108555,0.464692616314,4.08244002745e-145,258,0.904672681758,664.151410917,-1312.30282183,CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_additive,CadenceHof,full,I(Speed ** 2),-0.0873378559654,0.00824967788942,-0.103506927513,-0.0711687844181,3.43047794733e-26,258,0.904672681758,664.151410917,-1312.30282183,CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,CadenceHof,full,Intercept,0.172303727907,0.0116893557007,0.149393011731,0.195214444082,3.55600406923e-49,258,0.90487399314,665.762859497,-1313.52571899,CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,CadenceHof,full,AgeGroup,0.0399523553843,0.013565953008,0.0133635760727,0.066541134696,0.0032290667125,258,0.90487399314,665.762859497,-1313.52571899,CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,CadenceHof,full,Speed,0.439898000337,0.0172478692042,0.406092797887,0.473703202787,1.75794374199e-143,258,0.90487399314,665.762859497,-1313.52571899,CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,CadenceHof,full,AgeGroup:Speed,-0.0174128286155,0.00976261329098,-0.0365471990608,0.00172154182985,0.074484828937,258,0.90487399314,665.762859497,-1313.52571899,CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_physical_speed_interaction,CadenceHof,full,I(Speed ** 2),-0.0871597473868,0.00822851481966,-0.10328734008,-0.071032154694,3.23186051433e-26,258,0.90487399314,665.762859497,-1313.52571899,CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),Hof outcomes in dimensionless units; Speed m/s; matched physical speed,correlated_random_intercept_Speed_slope,hof_physical_speed,Speed
hof_dimensionless_speed_no_age,StepLengthHof,full,Intercept,0.222252083862,0.0124520455518,0.197846523047,0.246657644677,2.96158710836e-71,258,0.89262723719,600.305872054,-1186.61174411,StepLengthHof ~ SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
hof_dimensionless_speed_no_age,StepLengthHof,full,SpeedHof,1.43922140564,0.0621210510463,1.31746638291,1.56097642837,9.57123114686e-119,258,0.89262723719,600.305872054,-1186.61174411,StepLengthHof ~ SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
hof_dimensionless_speed_no_age,StepLengthHof,full,I(SpeedHof ** 2),-0.613143577577,0.089353092595,-0.788272420971,-0.438014734184,6.78889311339e-12,258,0.89262723719,600.305872054,-1186.61174411,StepLengthHof ~ SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
hof_dimensionless_speed_additive,StepLengthHof,full,Intercept,0.231660922582,0.013450242377,0.20529893194,0.258022913224,1.76803047366e-66,258,0.899060825243,601.742882309,-1187.48576462,StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
hof_dimensionless_speed_additive,StepLengthHof,full,AgeGroup,-0.018685962586,0.0110864479397,-0.0404150012644,0.00304307609232,0.0918964122167,258,0.899060825243,601.742882309,-1187.48576462,StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
hof_dimensionless_speed_additive,StepLengthHof,full,SpeedHof,1.43719720897,0.0622024683768,1.3152826112,1.55911180673,4.1099396868e-118,258,0.899060825243,601.742882309,-1187.48576462,StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
hof_dimensionless_speed_additive,StepLengthHof,full,I(SpeedHof ** 2),-0.609804402379,0.0894994159553,-0.785220034289,-0.434388770469,9.52513833665e-12,258,0.899060825243,601.742882309,-1187.48576462,StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
hof_dimensionless_speed_interaction,StepLengthHof,full,Intercept,0.239939949783,0.0144070861167,0.211702579872,0.268177319694,2.81614904257e-62,258,0.899623840717,602.849924433,-1187.69984887,StepLengthHof ~ AgeGroup * SpeedHof + I(SpeedHof ** 2),Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,correlated_random_intercept_SpeedHof_slope,hof_dimensionless_speed,SpeedHof
