model,outcome,sample,role,formula,structure,scaling,estimator,converged,llf,aic,residual_variance,intercept_variance,slope_variance,intercept_slope_covariance,intercept_slope_correlation,min_eigenvalue,max_eigenvalue,covariance_positive_definite,eigenvalue_ratio,n,subjects
hof_physical_speed_no_age,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,ML,True,591.785693131,-1169.57138626,0.000260708767137,0.00297685580012,0.000964689664088,-0.00104624600453,-0.617392146681,0.000519279073233,0.00342226639098,True,0.151735433163,258,43
hof_physical_speed_no_age,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,REML,True,579.787021214,,0.000261914341083,0.00306240689904,0.00100281477009,-0.00108550681985,-0.619427879122,0.000536347157822,0.00352887451132,True,0.15198816396,258,43
hof_physical_speed_additive,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,ML,True,592.390181474,-1168.78036295,0.000260656864105,0.00276773608474,0.000965865559981,-0.000969753149802,-0.593117202898,0.000543129594846,0.00319047204988,True,0.170234870062,258,43
hof_physical_speed_additive,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,REML,True,576.979730312,,0.000261881541052,0.00289427579583,0.0010038583592,-0.0010072714772,-0.590935880104,0.00056775778921,0.00333037636582,True,0.170478566638,258,43
hof_physical_speed_interaction,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,ML,True,594.032188154,-1170.06437631,0.000261233639695,0.00266513868128,0.000851633685387,-0.000861980288215,-0.572151462802,0.000507302609065,0.0030094697576,True,0.168568767898,258,43
hof_physical_speed_interaction,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,REML,True,574.997471813,,0.000262300912358,0.00282438947071,0.000922299340638,-0.000932183994077,-0.577568368975,0.000541633583257,0.00320505522809,True,0.168993525762,258,43
hof_physical_speed_no_age,CadenceHof,full,body-size sensitivity,CadenceHof ~ Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,ML,True,661.204963454,-1308.40992691,0.00015712228939,0.00201407883205,0.000786242028972,-0.0010132379293,-0.805183892591,0.00021544658104,0.00258487427998,True,0.0833489592545,258,43
hof_physical_speed_no_age,CadenceHof,full,body-size sensitivity,CadenceHof ~ Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,REML,True,648.357954268,,0.000157844167971,0.00207147477698,0.00081492675512,-0.00104679189548,-0.80567750592,0.000222339797204,0.0026640617349,True,0.0834589507786,258,43
hof_physical_speed_additive,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,ML,True,664.151410917,-1312.30282183,0.000157073269441,0.001712302205,0.000789729043799,-0.000927839435388,-0.797890995635,0.000214834497713,0.00228719675109,True,0.093929172298,258,43
hof_physical_speed_additive,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,REML,True,647.328313085,,0.000157801243837,0.00177959110808,0.000818639404569,-0.000959720672326,-0.795130501405,0.000225839516818,0.00237239099583,True,0.0951948971377,258,43
hof_physical_speed_interaction,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,ML,True,665.762859497,-1313.52571899,0.000157189206286,0.00161420999822,0.000708990782632,-0.000838243137018,-0.783555377282,0.000208968764967,0.00211423201588,True,0.0988390883294,258,43
hof_physical_speed_interaction,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed,REML,True,645.180163612,,0.000157825905874,0.00171171196677,0.000762429410372,-0.00089727569907,-0.785435889877,0.000221990384795,0.00225215099234,True,0.0985681624145,258,43
hof_dimensionless_speed_no_age,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,ML,True,600.305872054,-1186.61174411,0.000256926892971,0.00272964583781,0.00891214643866,-0.00367127274921,-0.744341687068,0.00102151367598,0.0106202786005,True,0.0961852051542,258,43
hof_dimensionless_speed_no_age,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,REML,True,591.358613423,,0.000258181201699,0.00280853661253,0.00924203822937,-0.0037978994282,-0.745451743512,0.00104818727828,0.0110023875636,True,0.0952690743003,258,43
hof_dimensionless_speed_additive,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,ML,True,601.742882309,-1187.48576462,0.000256929874941,0.00247123910988,0.00892941507876,-0.00344473797168,-0.733309484988,0.000978756497076,0.0104218976916,True,0.0939134624079,258,43
hof_dimensionless_speed_additive,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,REML,True,589.149717812,,0.000258185188435,0.00257464224113,0.00926161388811,-0.00356754074587,-0.730578960572,0.00102872683079,0.0108075292984,True,0.0951861246347,258,43
hof_dimensionless_speed_interaction,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup * SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,ML,True,602.849924433,-1187.69984887,0.000257045388768,0.0023876747776,0.00828017771833,-0.00321207541849,-0.722400967339,0.000975276661148,0.00969257583479,True,0.10062099877,258,43
hof_dimensionless_speed_interaction,StepLengthHof,full,body-size sensitivity,StepLengthHof ~ AgeGroup * SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,REML,True,587.76528168,,0.000258198026896,0.00253182617028,0.00891562502194,-0.00344611726156,-0.725332624083,0.00102649810268,0.0104209530895,True,0.0985032840913,258,43
hof_dimensionless_speed_no_age,CadenceHof,full,body-size sensitivity,CadenceHof ~ SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,ML,True,659.347809621,-1304.69561924,0.000158119684854,0.00222644449193,0.00614074478712,-0.00296954565311,-0.803107249549,0.000627102254304,0.00774008702474,True,0.0810200521388,258,43
