model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,structure,scaling
1,StepLength,full,Intercept,0.0965490221484,0.0880175728796,-0.0759622507023,0.269060294999,0.272672460497,258,0.0098036032676,-364.314265295,736.628530591,StepLength ~ AgeGroup,random_intercept_age_only_reference,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
1,StepLength,full,AgeGroup,-0.19769561678,0.12594878113,-0.444550691692,0.0491594581318,0.116496351542,258,0.0098036032676,-364.314265295,736.628530591,StepLength ~ AgeGroup,random_intercept_age_only_reference,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,full,Intercept,-0.00310372593169,0.0466851502454,-0.0946049390255,0.0883974871621,0.946994023579,258,0.885526094009,46.4047389547,-80.8094779094,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,full,Speed,0.942616228055,0.0172659757327,0.908775537461,0.976456918649,0,258,0.885526094009,46.4047389547,-80.8094779094,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,full,Intercept,0.13784023583,0.0569541275217,0.0262121971165,0.249468274543,0.0155120804413,258,0.904446763813,52.5124608904,-91.0249217807,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,full,AgeGroup,-0.288796299068,0.0788301880007,-0.443300628444,-0.134291969692,0.00024876873003,258,0.904446763813,52.5124608904,-91.0249217807,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,full,Speed,0.942714992001,0.0172719005472,0.908862688984,0.976567295018,0,258,0.904446763813,52.5124608904,-91.0249217807,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,full,Intercept,0.0463924017345,0.0473891966721,-0.046488716999,0.139273520468,0.32759688954,258,0.885563083482,63.7901729231,-113.580345846,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,full,Speed,0.943925321641,0.0191286994913,0.906433759567,0.981416883715,0,258,0.885563083482,63.7901729231,-113.580345846,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,full,Speed2,-0.0598903657324,0.00951107577309,-0.0785317317019,-0.041248999763,3.03642067061e-10,258,0.885563083482,63.7901729231,-113.580345846,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,Intercept,0.188801900163,0.0579250786864,0.0752708321356,0.302332968189,0.00111642026179,258,0.904211180286,69.8855606346,-123.771121269,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,AgeGroup,-0.291735999136,0.0796890530556,-0.447923673087,-0.135548325185,0.000251301980691,258,0.904211180286,69.8855606346,-123.771121269,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,Speed,0.943986973678,0.0191239289967,0.906504761602,0.981469185755,0,258,0.904211180286,69.8855606346,-123.771121269,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,Speed2,-0.0597603764517,0.00949762202848,-0.0783753735663,-0.0411453793371,3.13116972485e-10,258,0.904211180286,69.8855606346,-123.771121269,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,Intercept,0.131427899572,0.0588840516899,0.0160172789958,0.246838520148,0.0256164263725,258,0.904287478039,52.6095911143,-89.2191822285,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,AgeGroup,-0.275920537997,0.0842392812967,-0.441026495422,-0.110814580572,0.001054982907,258,0.904287478039,52.6095911143,-89.2191822285,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,Speed,0.935281202464,0.0245101359705,0.887242218705,0.983320186222,0,258,0.904287478039,52.6095911143,-89.2191822285,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,AgeGroup:Speed,0.0150293355959,0.0348943172674,-0.0533622695133,0.0834209407051,0.666679159106,258,0.904287478039,52.6095911143,-89.2191822285,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,Intercept,0.180014798561,0.0595727666385,0.0632543214906,0.296775275632,0.00251306993406,258,0.903990404572,70.0919673226,-122.183934645,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,AgeGroup,-0.27346944326,0.0845381319625,-0.439161137226,-0.107777749293,0.00121700263063,258,0.903990404572,70.0919673226,-122.183934645,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,Speed,0.932018648641,0.0270415491554,0.87901818621,0.985019111072,2.5781029168e-260,258,0.903990404572,70.0919673226,-122.183934645,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,AgeGroup:Speed,0.0242894101791,0.0385777778874,-0.0513216450837,0.099900465442,0.528942053262,258,0.903990404572,70.0919673226,-122.183934645,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,Speed2,-0.0601100596388,0.00949661148002,-0.0787230761148,-0.0414970431627,2.4574596119e-10,258,0.903990404572,70.0919673226,-122.183934645,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
8,Cadence,full,Intercept,-0.192672478613,0.0896940455368,-0.368469577493,-0.016875379733,0.0317051929291,258,0.0390417555064,-360.406045395,728.812090789,Cadence ~ AgeGroup,random_intercept_age_only_reference,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
8,Cadence,full,AgeGroup,0.39451983716,0.12834773035,0.142962908177,0.646076766143,0.00211325771944,258,0.0390417555064,-360.406045395,728.812090789,Cadence ~ AgeGroup,random_intercept_age_only_reference,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
9,Cadence,full,Intercept,0.0349546899377,0.0538784347394,-0.0706451016949,0.14055448157,0.516487317092,258,0.836344724759,-5.41649294945,22.8329858989,Cadence ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
9,Cadence,full,Speed,0.936437571265,0.0272293468701,0.883069032077,0.989806110453,3.46733699621e-259,258,0.836344724759,-5.41649294945,22.8329858989,Cadence ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,full,Intercept,-0.133619362001,0.0673605783256,-0.265643669497,-0.00159505450479,0.047295615039,258,0.861958528978,0.510581773132,12.9788364537,Cadence ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,full,AgeGroup,0.344834725761,0.0956238685474,0.157415387345,0.532254064176,0.000310764624009,258,0.861958528978,0.510581773132,12.9788364537,Cadence ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,full,Speed,0.936444397008,0.0272244426671,0.883085469881,0.989803324135,2.77736060422e-259,258,0.861958528978,0.510581773132,12.9788364537,Cadence ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,full,Intercept,0.122546429956,0.0545522884072,0.0156259094038,0.229466950508,0.0246781997597,258,0.854142206185,40.2561525711,-66.5123051423,Cadence ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,full,Speed,0.938534926048,0.0207209092626,0.897922690167,0.97914716193,0,258,0.854142206185,40.2561525711,-66.5123051423,Cadence ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,full,Speed2,-0.106558672233,0.0102998553146,-0.126746017696,-0.0863713267708,4.37945792256e-25,258,0.854142206185,40.2561525711,-66.5123051423,Cadence ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
