model,outcome,sample,role,formula,structure,scaling,estimator,converged,llf,aic,residual_variance,intercept_variance,slope_variance,intercept_slope_covariance,intercept_slope_correlation,min_eigenvalue,max_eigenvalue,covariance_positive_definite,eigenvalue_ratio,n,subjects
1,StepLength,full,RI sensitivity,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,-364.314265295,736.628530591,0.986358422397,3.85011003924e-09,,,,3.85011003924e-09,3.85011003924e-09,True,1,258,43
1,StepLength,full,RI sensitivity,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-367.33587667,,0.988619682406,0.00566610191596,,,,0.00566610191596,0.00566610191596,True,1,258,43
2,StepLength,full,RI sensitivity,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,30.0642105169,-52.1284210337,0.0283592163058,0.0856888177453,,,,0.0856888177453,0.0856888177453,True,1,258,43
2,StepLength,full,RI sensitivity,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,24.3215130769,,0.0284909724455,0.0878322415745,,,,0.0878322415745,0.0878322415745,True,1,258,43
2,StepLength,full,primary,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,46.4047389547,-80.8094779094,0.019362245852,0.088000627644,0.00877725193378,0.00950777226604,0.342102780418,0.00765218061252,0.0891256989653,True,0.0858582956584,258,43
2,StepLength,full,primary,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,41.0640269204,,0.0193557947491,0.0902163228831,0.00909020697711,0.00975322872464,0.340579859686,0.00793411895307,0.0913724109071,True,0.0868327635695,258,43
3,StepLength,full,RI sensitivity,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,35.1116121582,-60.2232243163,0.0283593463828,0.0667684978837,,,,0.0667684978837,0.0667684978837,True,1,258,43
3,StepLength,full,RI sensitivity,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,27.6813988919,,0.0284910968116,0.0702445563154,,,,0.0702445563154,0.0702445563154,True,1,258,43
3,StepLength,full,primary,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,52.5124608904,-91.0249217807,0.019343899725,0.0691025545723,0.00878849633923,0.010529571331,0.427273887053,0.00700310417075,0.0708879467408,True,0.0987911837306,258,43
3,StepLength,full,primary,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,45.4020292849,,0.0193375150302,0.0724458286227,0.00910286005058,0.0108034626667,0.420695000063,0.00731096551033,0.074237723163,True,0.0984804651711,258,43
4,StepLength,full,RI sensitivity,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,35.0713277383,-60.1426554766,0.0270587272716,0.0860705637329,,,,0.0860705637329,0.0860705637329,True,1,258,43
4,StepLength,full,RI sensitivity,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,25.6690489891,,0.0273118767512,0.0882009380932,,,,0.0882009380932,0.0882009380932,True,1,258,43
4,StepLength,full,primary,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,63.7901729231,-113.580345846,0.0149802344771,0.0889990306377,0.0124049643755,0.00965907149497,0.290699966521,0.0112056633882,0.0901983316249,True,0.124233599295,258,43
4,StepLength,full,primary,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,54.7965236787,,0.0150542021687,0.0911919529529,0.0128089152647,0.00991006588868,0.289962681504,0.0115753854975,0.0924254827201,True,0.125240195202,258,43
5,StepLength,full,RI sensitivity,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,40.0712604966,-68.1425209933,0.0270591468539,0.0672700625862,,,,0.0672700625862,0.0672700625862,True,1,258,43
5,StepLength,full,RI sensitivity,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,28.9844019884,,0.027311730379,0.0707506128087,,,,0.0707506128087,0.0707506128087,True,1,258,43
5,StepLength,full,primary,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,69.8855606346,-123.771121269,0.0149750828733,0.0704304750573,0.0123966146381,0.0113679893889,0.384726233027,0.0102492476226,0.0725778420729,True,0.141217309992,258,43
5,StepLength,full,primary,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,59.1282060513,,0.0150485997617,0.0737880876138,0.0128021061294,0.0116641078604,0.379505162457,0.0106473726541,0.0759428210891,True,0.140202490523,258,43
6,StepLength,full,RI sensitivity,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,35.3635821675,-58.727164335,0.0282695171948,0.0670803072425,,,,0.0670803072425,0.0670803072425,True,1,258,43
6,StepLength,full,RI sensitivity,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,25.0440348852,,0.0285330824742,0.0705639899502,,,,0.0705639899502,0.0705639899502,True,1,258,43
6,StepLength,full,primary,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,52.6095911143,-89.2191822285,0.0193444414483,0.0691444046566,0.0087215845996,0.0104985689539,0.427517488612,0.00694941687341,0.0709165723827,True,0.0979942577583,258,43
6,StepLength,full,primary,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,43.054214279,,0.0193329370991,0.0727407321236,0.00936033238828,0.0110553823812,0.423681303,0.00748730465121,0.0746137598607,True,0.100347505141,258,43
7,StepLength,full,RI sensitivity,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,40.5133425318,-67.0266850636,0.0269187369993,0.0676857747673,,,,0.0676857747673,0.0676857747673,True,1,258,43
7,StepLength,full,RI sensitivity,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,26.5149510684,,0.0272971400849,0.071179261714,,,,0.071179261714,0.071179261714,True,1,258,43
7,StepLength,full,primary,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,70.0919673226,-122.183934645,0.0149706934366,0.0704374909362,0.0122562915245,0.0112827338489,0.384001449425,0.0101449189473,0.0725488635134,True,0.13983567014,258,43
7,StepLength,full,primary,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,56.9876885349,,0.0150396800534,0.0740253557119,0.0130577896778,0.0118743666981,0.381931404929,0.010826719623,0.0762564257667,True,0.141977800744,258,43
