outcome,sample,term,reduced,full,lr,df,p,subjects,n,structure,scaling,inference
StepLength,full,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,0.194260447789,1,0.659394088886,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,full,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,0.412813376059,1,0.520544989797,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,full,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,34.7461994885,1,3.7561124562e-09,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,full,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,12.1907754231,1,0.000480264154855,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,1.35662029481,1,0.244124073842,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,1.29140908609,1,0.255788436365,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,91.8678636568,1,9.26616380641e-22,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,12.3767220608,1,0.000434719672757,43,258,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,0.17793753099,1,0.673151717895,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,0.451745496853,1,0.501507209205,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,42.9699973284,1,5.55858094168e-11,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,10.6706593676,1,0.00108848310094,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,1.70718195792,1,0.191351405642,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,1.69347453428,1,0.193143581657,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,95.3832366888,1,1.56876463179e-22,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,10.7014027553,1,0.0010705433422,41,246,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
