model,outcome,sample,formula,ri_llf,rs_llf,ri_aic,rs_aic,descriptive_lr,parameter_count_difference,p,inference,scaling,n,subjects
2,StepLength,full,StepLength ~ Speed,30.0642105169,46.4047389547,-52.1284210337,-80.8094779094,32.6810568756,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
3,StepLength,full,StepLength ~ AgeGroup + Speed,35.1116121582,52.5124608904,-60.2232243163,-91.0249217807,34.8016974644,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
4,StepLength,full,StepLength ~ Speed + Speed2,35.0713277383,63.7901729231,-60.1426554766,-113.580345846,57.4376903696,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
5,StepLength,full,StepLength ~ AgeGroup + Speed + Speed2,40.0712604966,69.8855606346,-68.1425209933,-123.771121269,59.6286002759,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
6,StepLength,full,StepLength ~ AgeGroup * Speed,35.3635821675,52.6095911143,-58.727164335,-89.2191822285,34.4920178936,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
7,StepLength,full,StepLength ~ AgeGroup * Speed + Speed2,40.5133425318,70.0919673226,-67.0266850636,-122.183934645,59.1572495817,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
9,Cadence,full,Cadence ~ Speed,-42.6218001128,-5.41649294945,93.2436002256,22.8329858989,74.4106143267,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
10,Cadence,full,Cadence ~ AgeGroup + Speed,-37.426794708,0.510581773132,84.853589416,12.9788364537,75.8747529623,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
11,Cadence,full,Cadence ~ Speed + Speed2,13.473998154,40.2561525711,-16.9479963081,-66.5123051423,53.5643088342,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
12,Cadence,full,Cadence ~ AgeGroup + Speed + Speed2,18.846491184,46.4445136015,-25.6929823679,-76.8890272031,55.1960448351,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
13,Cadence,full,Cadence ~ AgeGroup * Speed,-35.4556388846,1.18889192054,82.9112777692,13.6222161589,73.2890616102,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
14,Cadence,full,Cadence ~ AgeGroup * Speed + Speed2,20.5946593961,47.0902181446,-27.1893187923,-76.1804362892,52.9911174969,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",258,43
2,StepLength,omit_7_31,StepLength ~ Speed,42.5950925104,57.8128267059,-77.1901850209,-103.625653412,30.435468391,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",246,41
3,StepLength,omit_7_31,StepLength ~ AgeGroup + Speed,46.8328135174,63.1224664534,-83.6656270349,-112.244932907,32.5793058718,2,,descriptive LR only; null slope variance is on a boundary; no calibrated chi-square p,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",246,41
