model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,structure,scaling
1,StepLength,full,Intercept,0.0965490221484,0.0880175728796,-0.0759622507023,0.269060294999,0.272672460497,258,0.0098036032676,-364.314265295,736.628530591,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
1,StepLength,full,AgeGroup,-0.19769561678,0.12594878113,-0.444550691692,0.0491594581318,0.116496351542,258,0.0098036032676,-364.314265295,736.628530591,StepLength ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,full,Intercept,-7.20914279321e-17,0.0464008663166,-0.090944026832,0.090944026832,1,258,0.885526094009,30.0642105169,-52.1284210337,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,full,Speed,0.94528811621,0.0110757603122,0.923580024897,0.966996207523,0,258,0.885526094009,30.0642105169,-52.1284210337,StepLength ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,full,Intercept,0.13439082539,0.0583864044524,0.0199555754766,0.248826075303,0.0213493530601,258,0.904500595992,35.1116121582,-60.2232243163,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,full,AgeGroup,-0.275181213894,0.0835505675824,-0.438937317243,-0.111425110544,0.000989170895978,258,0.904500595992,35.1116121582,-60.2232243163,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,full,Speed,0.945624122789,0.0110688137453,0.923929646496,0.967318599081,0,258,0.904500595992,35.1116121582,-60.2232243163,StepLength ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,full,Intercept,0.0333887867716,0.0476105107004,-0.0599260994867,0.12670367303,0.483121899521,258,0.886438917678,35.0713277383,-60.1426554766,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,full,Speed,0.950015734322,0.0109458999461,0.928562164649,0.971469303995,0,258,0.886438917678,35.0713277383,-60.1426554766,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,full,Speed2,-0.0335187042299,0.0105153039957,-0.0541283213479,-0.0129090871119,0.00143453123693,258,0.886438917678,35.0713277383,-60.1426554766,StepLength ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,Intercept,0.167187331784,0.0594123244532,0.0507413156176,0.28363334795,0.0048926536462,258,0.905304245981,40.0712604966,-68.1425209933,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,AgeGroup,-0.274280029205,0.083723055333,-0.438374202333,-0.110185856076,0.00105273867892,258,0.905304245981,40.0712604966,-68.1425209933,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,Speed,0.950332857397,0.0109402684609,0.928890325233,0.971775389562,0,258,0.905304245981,40.0712604966,-68.1425209933,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,full,Speed2,-0.0333659452154,0.0105134227097,-0.0539718750807,-0.0127600153502,0.00150534047968,258,0.905304245981,40.0712604966,-68.1425209933,StepLength ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,Intercept,0.134072956535,0.0585150374692,0.0193855905409,0.248760322528,0.0219485862804,258,0.904275460537,35.3635821675,-58.727164335,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,AgeGroup,-0.275191956287,0.0837321976798,-0.439304048086,-0.111079864489,0.00101414586698,258,0.904275460537,35.3635821675,-58.727164335,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,Speed,0.937680937428,0.0157212734611,0.906867807653,0.968494067203,0,258,0.904275460537,35.3635821675,-58.727164335,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,full,AgeGroup:Speed,0.0157815553447,0.0221642563409,-0.0276595888275,0.0592226995168,0.476447878053,258,0.904275460537,35.3635821675,-58.727164335,StepLength ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,Intercept,0.167401962144,0.0595751133674,0.050636885569,0.284167038719,0.0049552111166,258,0.905025352805,40.5133425318,-67.0266850636,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,AgeGroup,-0.274276637121,0.083959628109,-0.43883448437,-0.109718789872,0.00108782739428,258,0.905025352805,40.5133425318,-67.0266850636,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,Speed,0.940149064487,0.0154002391259,0.909965150447,0.970332978527,0,258,0.905025352805,40.5133425318,-67.0266850636,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,AgeGroup:Speed,0.0204095207585,0.0217273074157,-0.0221752192574,0.0629942607743,0.347551676707,258,0.905025352805,40.5133425318,-67.0266850636,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,full,Speed2,-0.0340025688615,0.0105325189184,-0.0546459266081,-0.013359211115,0.00124510197823,258,0.905025352805,40.5133425318,-67.0266850636,StepLength ~ AgeGroup * Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
8,Cadence,full,Intercept,-0.192672478613,0.0896940455368,-0.368469577493,-0.016875379733,0.0317051929291,258,0.0390417555064,-360.406045395,728.812090789,Cadence ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
8,Cadence,full,AgeGroup,0.39451983716,0.12834773035,0.142962908177,0.646076766143,0.00211325771944,258,0.0390417555064,-360.406045395,728.812090789,Cadence ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
9,Cadence,full,Intercept,-5.89208252345e-16,0.0532439386888,-0.104356202225,0.104356202225,1,258,0.836344724759,-42.6218001128,93.2436002256,Cadence ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
9,Cadence,full,Speed,0.912228312793,0.0150913421249,0.882649825749,0.941806799836,0,258,0.836344724759,-42.6218001128,93.2436002256,Cadence ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,full,Intercept,-0.156191298762,0.0667705534899,-0.287059178829,-0.0253234186936,0.0193238300199,258,0.862006154954,-37.426794708,84.853589416,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,full,AgeGroup,0.319820278416,0.0955494371218,0.132546822915,0.507093733918,0.000816409144626,258,0.862006154954,-37.426794708,84.853589416,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
10,Cadence,full,Speed,0.911623673821,0.01507791466,0.882071504126,0.941175843517,0,258,0.862006154954,-37.426794708,84.853589416,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,full,Intercept,0.136144755722,0.0542504011474,0.0298159233261,0.242473588118,0.0120880926907,258,0.855116722331,13.473998154,-16.9479963081,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,full,Speed,0.931344822705,0.0117877408163,0.908241275246,0.954448370164,0,258,0.855116722331,13.473998154,-16.9479963081,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
11,Cadence,full,Speed2,-0.136674501853,0.0113216928555,-0.158864612094,-0.114484391612,1.48636560445e-33,258,0.855116722331,13.473998154,-16.9479963081,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
12,Cadence,full,Intercept,-0.021714823081,0.067199943814,-0.15342429272,0.109994646558,0.746591097529,258,0.881301047906,18.846491184,-25.6929823679,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
12,Cadence,full,AgeGroup,0.323504215555,0.0948355622375,0.137629929115,0.509378501994,0.000646747654966,258,0.881301047906,18.846491184,-25.6929823679,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
12,Cadence,full,Speed,0.931065336297,0.0117814309948,0.907974155861,0.954156516733,0,258,0.881301047906,18.846491184,-25.6929823679,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
12,Cadence,full,Speed2,-0.136805863054,0.0113195201312,-0.158991714834,-0.114620011275,1.25487350891e-33,258,0.881301047906,18.846491184,-25.6929823679,Cadence ~ AgeGroup + Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
13,Cadence,full,Intercept,-0.1549893429,0.0672321302708,-0.286761896835,-0.0232167889657,0.0211505159457,258,0.861659949661,-35.4556388846,82.9112777692,Cadence ~ AgeGroup * Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
