outcome,sample,term,reduced,full,lr,df,p,subjects,n,structure,scaling,inference
StepLength,full,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,0.503940018666,1,0.477774009107,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,full,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,0.884164070331,1,0.347063704962,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,full,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,9.91929667699,1,0.00163554869155,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,full,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,9.9998655167,1,0.00156551657797,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,3.94231164687,1,0.0470860321299,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,3.49633642433,1,0.0615047472792,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,112.546571784,1,2.71218784977e-26,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,full,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,10.7449860599,1,0.00104562228442,43,258,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,0.43625979217,1,0.508933240824,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,0.958989530704,1,0.327441596163,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,16.9322986286,1,3.87368400367e-05,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
StepLength,omit_7_31,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,8.37661925046,1,0.0038007877111,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,AgeGroup:Speed (linear),AgeGroup + Speed,AgeGroup * Speed,4.65163636006,1,0.0310239597073,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,AgeGroup:Speed (quadratic),AgeGroup + Speed + Speed2,AgeGroup * Speed + Speed2,4.4199460652,1,0.0355211591309,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,Speed2,AgeGroup + Speed,AgeGroup + Speed + Speed2,109.49444449,1,1.26458452928e-25,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
Cadence,omit_7_31,AgeGroup,Speed + Speed2,AgeGroup + Speed + Speed2,9.11931530145,1,0.00252924610231,41,246,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",asymptotic ML fixed-effect LRT; identical random structure
