model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,covariance,inference,df_resid,scaling,structure
cadence_sex_classical,H2A_M,full,Intercept,0.0722196044397,0.21063130905,-0.353822431851,0.49826164073,0.733535944302,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_M,full,AgeGroup,0.505374566983,0.265579300419,-0.0318102725239,1.04255940649,0.0644527834307,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_M,full,Cadence,0.423532831215,0.139157091263,0.142061046258,0.705004616172,0.00417228611179,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_M,full,Female,-0.806959346915,0.267010179501,-1.34703841255,-0.266880281281,0.0044173854428,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_M,full,Intercept,0.0722196044397,0.174428190703,-0.280594713094,0.425033921973,0.681115808687,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_M,full,AgeGroup,0.505374566983,0.277646404243,-0.0562182938609,1.06696742783,0.0764079271862,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_M,full,Cadence,0.423532831215,0.123155041221,0.174428247581,0.672637414849,0.00140362775919,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_M,full,Female,-0.806959346915,0.285449719221,-1.38433590211,-0.229582791718,0.00737665263908,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_M,full,Intercept,0.0872413853397,0.258991383207,-0.437059259328,0.611542030008,0.738082957182,43,0.369214062114,-50.6014938255,111.202987651,H2A_M ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_M,full,AgeGroup,0.495974534677,0.284269866402,-0.0794997238428,1.0714487932,0.089115563955,43,0.369214062114,-50.6014938255,111.202987651,H2A_M ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
