outcome,predictor,sex_adjusted,age_reference,age_adjusted,attenuation,attenuation_pct,age_adjusted_ci_low,age_adjusted_ci_high,age_adjusted_p,r2,formula,reference_formula,scaling,inference
H2A_M,CadenceHof,False,0.721617245814,0.543819994753,0.177797251061,24.6387197773,-0.002917485679,1.09055747519,0.0511769559705,0.288292827527,H2A_M ~ AgeGroup + CadenceHof,H2A_M ~ AgeGroup,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_M,StepLengthHof,False,0.721617245814,0.606476817468,0.115140428346,15.9558864501,0.0591051198422,1.15384851509,0.0307633253454,0.267879800861,H2A_M ~ AgeGroup + StepLengthHof,H2A_M ~ AgeGroup,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_M,CadenceHof,True,0.760186973423,0.591624253683,0.16856271974,22.1738500702,0.0569906709381,1.12625783643,0.0309824467304,0.344064054277,H2A_M ~ AgeGroup + CadenceHof + Female,H2A_M ~ AgeGroup + Female,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_M,StepLengthHof,True,0.760186973423,0.650807675301,0.109379298122,14.3884730923,0.0988930044386,1.20272234616,0.0220299152337,0.290691565143,H2A_M ~ AgeGroup + StepLengthHof + Female,H2A_M ~ AgeGroup + Female,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_I,CadenceHof,False,0.784063259465,0.651236874723,0.132826384742,16.9407739922,0.0876745164687,1.21479923298,0.0246187163717,0.243815790839,H2A_I ~ AgeGroup + CadenceHof,H2A_I ~ AgeGroup,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_I,StepLengthHof,False,0.784063259465,0.744003160854,0.0400600986104,5.1092941962,0.162441805144,1.32556451656,0.0134705562898,0.173564824683,H2A_I ~ AgeGroup + StepLengthHof,H2A_I ~ AgeGroup,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_I,CadenceHof,True,0.813705626311,0.68823921166,0.125466414651,15.4191406074,0.127029105584,1.24944931774,0.0175409006125,0.277230318324,H2A_I ~ AgeGroup + CadenceHof + Female,H2A_I ~ AgeGroup + Female,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_I,StepLengthHof,True,0.813705626311,0.79945147855,0.014254147761,1.75175730633,0.216713698514,1.38218925859,0.0084333705833,0.209252918594,H2A_I ~ AgeGroup + StepLengthHof + Female,H2A_I ~ AgeGroup + Female,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_W,CadenceHof,False,0.45835242749,0.296898462071,0.161453965419,35.2248522613,-0.289380432035,0.883177356177,0.312223597912,0.181625349529,H2A_W ~ AgeGroup + CadenceHof,H2A_W ~ AgeGroup,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_W,StepLengthHof,False,0.45835242749,0.384880912837,0.0734715146528,16.0294808637,-0.219113576156,0.98887540183,0.205188322271,0.108577349347,H2A_W ~ AgeGroup + StepLengthHof,H2A_W ~ AgeGroup,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_W,CadenceHof,True,0.469176890696,0.302633762344,0.166543128352,35.4968737069,-0.294248253243,0.89951577793,0.311421228846,0.182428116209,H2A_W ~ AgeGroup + CadenceHof + Female,H2A_W ~ AgeGroup + Female,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
H2A_W,StepLengthHof,True,0.469176890696,0.37915405116,0.0900228395359,19.1873984676,-0.239436743069,0.997744845389,0.222468039813,0.108958046818,H2A_W ~ AgeGroup + StepLengthHof + Female,H2A_W ~ AgeGroup + Female,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,associational coefficient attenuation; not causal mediation
