model,outcome,term,estimate,se,ci_low,ci_high,p,approximate_mde80
6,H2A_M,AgeGroup:StepLength,-0.117339017578,0.324221833503,-0.773139576282,0.538461541126,0.719373150094,0.928672538168
7,H2A_M,AgeGroup:Cadence,0.0939491698049,0.320817718485,-0.554965916362,0.742864255972,0.771194781511,0.918922090151
8,H2A_M,AgeGroup:StepLength,0.00590786488663,0.459072428597,-0.924261229922,0.936076959695,0.989801341989,1.31653419846
8,H2A_M,AgeGroup:Cadence,0.0517770564047,0.450896830312,-0.861826702777,0.965380815587,0.90919977741,1.29308810572
14,H2A_I,AgeGroup:StepLength,-0.0373323946355,0.322448715555,-0.689546483765,0.614881694494,0.908422768455,0.923593774879
15,H2A_I,AgeGroup:Cadence,-0.0498853972333,0.3123888335,-0.681751454274,0.581980659808,0.873949410381,0.894779132446
16,H2A_I,AgeGroup:StepLength,0.0986020870357,0.448512681383,-0.810170927555,1.00737510163,0.827202361728,1.28625081077
16,H2A_I,AgeGroup:Cadence,-0.00497088961048,0.440525141116,-0.897559610315,0.887617831094,0.991057479371,1.26334403339
22,H2A_W,AgeGroup:StepLength,0.319658400563,0.341538585361,-0.371168594889,1.01048539602,0.355065560196,0.978273120977
23,H2A_W,AgeGroup:Cadence,-0.564036694489,0.324436232581,-1.22027091626,0.0921975272829,0.0900105293648,0.929286644053
24,H2A_W,AgeGroup:StepLength,0.122775882605,0.464107137479,-0.817594501394,1.0631462666,0.792830325518,1.33097280555
24,H2A_W,AgeGroup:Cadence,-0.527228686707,0.455841876311,-1.45085206082,0.396394687409,0.254847298814,1.30726957637
