model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula
1,H2A_M,full,Intercept,-0.3524177247,0.200899210333,-0.758141910898,0.053306461498,0.0868682967168,43,0.133210370791,-57.4348332957,118.869666591,H2A_M ~ AgeGroup
1,H2A_M,full,AgeGroup,0.721617245814,0.287476805412,0.141046059234,1.30218843239,0.0161072276169,43,0.133210370791,-57.4348332957,118.869666591,H2A_M ~ AgeGroup
2,H2A_M,full,Intercept,-2.42861286637e-16,0.141762394744,-0.286294964252,0.286294964252,1,43,0.156422274255,-56.8512316909,117.702463382,H2A_M ~ StepLength
2,H2A_M,full,StepLength,-0.3955025591,0.143440114618,-0.685185747376,-0.105819370824,0.00866351267814,43,0.156422274255,-56.8512316909,117.702463382,H2A_M ~ StepLength
3,H2A_M,full,Intercept,-2.42861286637e-16,0.141585447557,-0.28593761216,0.28593761216,1,43,0.158526859847,-56.7975257588,117.595051518,H2A_M ~ Cadence
3,H2A_M,full,Cadence,0.398154316624,0.143261073309,0.108832709607,0.687475923641,0.00818692883081,43,0.158526859847,-56.7975257588,117.595051518,H2A_M ~ Cadence
4,H2A_M,full,Intercept,-0.241674292975,0.202159899976,-0.650254691725,0.166906105774,0.238946347038,43,0.209894485719,-55.4432924622,116.886584924,H2A_M ~ AgeGroup + StepLength
4,H2A_M,full,AgeGroup,0.494856885616,0.30076555363,-0.113012973077,1.10272674431,0.107739828087,43,0.209894485719,-55.4432924622,116.886584924,H2A_M ~ AgeGroup + StepLength
4,H2A_M,full,StepLength,-0.299730103882,0.152121363785,-0.607178848568,0.00771864080367,0.0557494340664,43,0.209894485719,-55.4432924622,116.886584924,H2A_M ~ AgeGroup + StepLength
5,H2A_M,full,Intercept,-0.25536368997,0.198113756248,-0.655766527204,0.145039147264,0.204811589595,43,0.221270830149,-55.1314741489,116.262948298,H2A_M ~ AgeGroup + Cadence
5,H2A_M,full,AgeGroup,0.522887555653,0.291263144333,-0.0657772174628,1.11155232877,0.0801735151563,43,0.221270830149,-55.1314741489,116.262948298,H2A_M ~ AgeGroup + Cadence
5,H2A_M,full,Cadence,0.313310461218,0.147315230091,0.0155752750641,0.611045647371,0.0396553578514,43,0.221270830149,-55.1314741489,116.262948298,H2A_M ~ AgeGroup + Cadence
6,H2A_M,full,Intercept,-0.27020247831,0.219065977171,-0.713305241222,0.172900284603,0.224797903491,43,0.212539114771,-55.3712072836,118.742414567,H2A_M ~ AgeGroup * StepLength
6,H2A_M,full,AgeGroup,0.507853172284,0.306199940452,-0.111494666985,1.12720101155,0.105225681024,43,0.212539114771,-55.3712072836,118.742414567,H2A_M ~ AgeGroup * StepLength
6,H2A_M,full,StepLength,-0.222517795931,0.263005179046,-0.75449598351,0.309460391647,0.402681486353,43,0.212539114771,-55.3712072836,118.742414567,H2A_M ~ AgeGroup * StepLength
6,H2A_M,full,AgeGroup:StepLength,-0.117339017578,0.324221833503,-0.773139576282,0.538461541126,0.719373150094,43,0.212539114771,-55.3712072836,118.742414567,H2A_M ~ AgeGroup * StepLength
7,H2A_M,full,Intercept,-0.275298223935,0.211662429247,-0.703425897687,0.152829449816,0.201012334188,43,0.222979417228,-55.0842497969,118.168499594,H2A_M ~ AgeGroup * Cadence
7,H2A_M,full,AgeGroup,0.533217459174,0.296753846881,-0.0670238523986,1.13345877075,0.0801098209133,43,0.222979417228,-55.0842497969,118.168499594,H2A_M ~ AgeGroup * Cadence
