model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula
age_sex,H2A_M,full,Intercept,-0.136427250087,0.218769743149,-0.578577394109,0.305722893936,0.536423156194,43,0.219175196525,-55.1892549642,116.378509928,H2A_M ~ AgeGroup + Female
age_sex,H2A_M,full,AgeGroup,0.760186973423,0.276849568245,0.200653124226,1.31972082262,0.00899983499994,43,0.219175196525,-55.1892549642,116.378509928,H2A_M ~ AgeGroup + Female
age_sex,H2A_M,full,Female,-0.593973805186,0.283043837435,-1.1660267394,-0.0219208709685,0.0422195206282,43,0.219175196525,-55.1892549642,116.378509928,H2A_M ~ AgeGroup + Female
cadence_sex,H2A_M,full,Intercept,0.0722196044397,0.21063130905,-0.353822431851,0.49826164073,0.733535944302,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female
cadence_sex,H2A_M,full,AgeGroup,0.505374566983,0.265579300419,-0.0318102725239,1.04255940649,0.0644527834307,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female
cadence_sex,H2A_M,full,Cadence,0.423532831215,0.139157091263,0.142061046258,0.705004616172,0.00417228611179,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female
cadence_sex,H2A_M,full,Female,-0.806959346915,0.267010179501,-1.34703841255,-0.266880281281,0.0044173854428,43,0.369040292915,-50.6074158397,109.214831679,H2A_M ~ AgeGroup + Cadence + Female
step_length_sex,H2A_M,full,Intercept,0.112250399691,0.216296864706,-0.325251304583,0.549752103965,0.606718065708,43,0.365334181123,-50.7333324393,109.466664879,H2A_M ~ AgeGroup + StepLength + Female
step_length_sex,H2A_M,full,AgeGroup,0.447849188441,0.273419076963,-0.105193095896,1.00089147278,0.109474724254,43,0.365334181123,-50.7333324393,109.466664879,H2A_M ~ AgeGroup + StepLength + Female
step_length_sex,H2A_M,full,StepLength,-0.433717916235,0.144722099766,-0.72644599336,-0.140989839111,0.00472533124721,43,0.365334181123,-50.7333324393,109.466664879,H2A_M ~ AgeGroup + StepLength + Female
step_length_sex,H2A_M,full,Female,-0.837152949647,0.270871987645,-1.38504325955,-0.289262639745,0.00367698074247,43,0.365334181123,-50.7333324393,109.466664879,H2A_M ~ AgeGroup + StepLength + Female
both_parameters,H2A_M,full,Intercept,-0.232843492227,0.202274960739,-0.641983218665,0.17629623421,0.256690099447,43,0.230198938145,-54.8835533205,117.767106641,H2A_M ~ AgeGroup + StepLength + Cadence
both_parameters,H2A_M,full,AgeGroup,0.476774769799,0.301185938803,-0.132431293862,1.08598083346,0.121500192695,43,0.230198938145,-54.8835533205,117.767106641,H2A_M ~ AgeGroup + StepLength + Cadence
both_parameters,H2A_M,full,StepLength,-0.144910594858,0.215465316269,-0.580730333658,0.290909143941,0.50520089179,43,0.230198938145,-54.8835533205,117.767106641,H2A_M ~ AgeGroup + StepLength + Cadence
